Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope	Contact Point Offset [m]	Oscillation Frequency [Hz]	Force Amplitude [N]	Force Phase [deg]	Indentation Amplitude [m]	Indentation Phase [deg]	Indentation Mean [m]	Phase Offset [deg]	Phase Delta [deg]	Youngs Modulus [Pa]	Storage Modulus E' [Pa]	Loss Modulus E'' [Pa]	Shear Storage G' [Pa]	Shear Loss G'' [Pa]	Loss Tan	Drag Correction [Pa]
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_00.jpk-force	0	-4.95264e-05	-0.00199275	-7.50096e-10		7.72829e-06	20.0000	1.39086e-09	359.489	2.75353e-10	-124.119	-5.61021e-07	0.00000	123.607	3.03924e+06	-1.68220e+06	2.53124e+06	-560735	843745	-1.50471	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_01.jpk-force	1	-4.81264e-05	-0.00199275	-7.43725e-10		8.99632e-06	20.0000	1.41659e-09	358.993	3.67810e-10	-158.230	-1.82555e-06	0.00000	157.223	1.70526e+06	-1.57228e+06	660194	-524093	220065	-0.419896	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_02.jpk-force	2	-4.67264e-05	-0.00199275	-7.39476e-10		8.68934e-06	20.0000	1.42740e-09	358.770	4.30362e-10	-167.264	-1.51443e-06	0.00000	166.033	1.50480e+06	-1.46031e+06	363196	-486771	121065	-0.248711	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_03.jpk-force	3	-4.53264e-05	-0.00199275	-7.38571e-10		8.99638e-06	20.0000	1.44238e-09	358.779	5.37774e-10	-169.933	-1.81690e-06	0.00000	168.711	1.18814e+06	-1.16515e+06	232584	-388383	77528.0	-0.199617	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_04.jpk-force	4	-4.39264e-05	-0.00199275	-7.35881e-10		8.44115e-06	20.0000	1.34025e-09	0.285578	4.26923e-10	-59.9462	-1.25630e-06	0.00000	60.2318	1.47465e+06	732154	1.28006e+06	244051	426687	1.74835	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_05.jpk-force	5	-4.39264e-05	-0.00199135	-7.43626e-10		9.03838e-06	20.0000	1.33310e-09	359.900	4.01672e-10	-48.5814	-1.85185e-06	0.00000	48.4817	1.46734e+06	972638	1.09866e+06	324213	366220	1.12957	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_06.jpk-force	6	-4.53264e-05	-0.00199135	-7.42147e-10		8.65415e-06	20.0000	1.31507e-09	359.852	4.94262e-10	-36.4776	-1.47494e-06	0.00000	36.3300	1.21232e+06	976671	718223	325557	239408	0.735379	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_07.jpk-force	7	-4.67264e-05	-0.00199135	-7.48608e-10		8.65295e-06	20.0000	1.32659e-09	0.356076	4.91265e-10	-50.3654	-1.47764e-06	0.00000	50.7214	1.23003e+06	778724	952141	259575	317380	1.22269	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_08.jpk-force	8	-4.81264e-05	-0.00199135	-7.59574e-10		8.67643e-06	20.0000	4.92179e-11	24.8467	9.68153e-09	-2.76146	-9.35782e-07	0.00000	27.6082	2572.44	2279.54	1192.13	759.846	397.377	0.522970	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_09.jpk-force	9	-4.95264e-05	-0.00199135	-7.07087e-10		8.57256e-06	20.0000	1.36650e-09	358.913	1.31868e-10	-79.6660	-1.40962e-06	0.00000	78.5794	4.75881e+06	942293	4.66459e+06	314098	1.55486e+06	4.95026	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_10.jpk-force	10	-4.95264e-05	-0.00198995	-7.66953e-10		8.64593e-06	20.0000	4.11973e-10	7.09516	7.04587e-09	-5.61489	-1.45662e-06	0.00000	12.7101	26697.7	26043.5	5873.95	8681.16	1957.98	0.225544	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_11.jpk-force	11	-4.81264e-05	-0.00198995	-7.99486e-10		9.59346e-06	20.0000	7.93278e-11	24.9512	9.48813e-09	-3.38134	-2.03048e-06	0.00000	28.3326	3666.71	3227.47	1740.18	1075.82	580.060	0.539178	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_12.jpk-force	12	-4.67264e-05	-0.00198995	-7.95251e-10		9.62687e-06	20.0000	9.63637e-11	9.46785	9.31285e-09	-2.66413	-2.19475e-06	0.00000	12.1320	4514.42	4413.60	948.771	1471.20	316.257	0.214965	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_13.jpk-force	13	-4.53264e-05	-0.00198995	-7.76947e-10		9.33396e-06	20.0000	7.04094e-11	8.60558	9.49647e-09	-2.36909	-1.68213e-06	0.00000	10.9747	3313.87	3253.26	630.877	1084.42	210.292	0.193921	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_14.jpk-force	14	-4.39264e-05	-0.00198995	-8.01544e-10		7.97720e-06	20.0000	1.27181e-09	0.935579	8.56020e-10	-33.3661	-7.93053e-07	0.00000	34.3017	790992	653424	445764	217808	148588	0.682197	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_15.jpk-force	15	-4.39264e-05	-0.00198855	-7.69315e-10		8.71144e-06	20.0000	1.41287e-09	359.358	3.74675e-10	-147.400	-1.52907e-06	0.00000	146.758	1.70829e+06	-1.42875e+06	936439	-476250	312146	-0.655425	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_16.jpk-force	16	-4.53264e-05	-0.00198855	-7.81635e-10		8.96532e-06	20.0000	9.61844e-11	8.55832	9.31184e-09	-2.59458	-1.42983e-06	0.00000	11.1529	4731.50	4642.15	915.205	1547.38	305.068	0.197151	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_17.jpk-force	17	-4.67264e-05	-0.00198855	-7.85023e-10		8.95951e-06	20.0000	1.53887e-10	7.22621	8.89406e-09	-2.96162	-1.62347e-06	0.00000	10.1878	7769.73	7647.23	1374.28	2549.08	458.092	0.179709	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_18.jpk-force	18	-4.81264e-05	-0.00198855	-7.99916e-10		8.97234e-06	20.0000	1.28421e-10	15.7162	9.11196e-09	-3.59754	-1.73084e-06	0.00000	19.3138	6277.22	5923.94	2076.14	1974.65	692.045	0.350465	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_19.jpk-force	19	-4.95264e-05	-0.00198855	-7.92635e-10		7.31832e-06	20.0000	1.33321e-09	358.837	2.93267e-10	-24.2975	-1.60153e-07	0.00000	23.1340	4.71204e+06	4.33313e+06	1.85128e+06	1.44438e+06	617093	0.427238	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_20.jpk-force	20	-4.95264e-05	-0.00198715	-8.12822e-10		7.17064e-06	20.0000	1.29919e-09	0.463015	6.47372e-10	-37.4857	-1.10395e-08	0.00000	37.9487	7.69551e+06	6.06838e+06	4.73240e+06	2.02279e+06	1.57747e+06	0.779845	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_21.jpk-force	21	-4.81264e-05	-0.00198715	-8.03474e-10		8.96355e-06	20.0000	1.36367e-09	358.847	1.25775e-10	-69.1075	-1.80048e-06	0.00000	67.9546	4.80752e+06	1.80446e+06	4.45602e+06	601487	1.48534e+06	2.46945	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_22.jpk-force	22	-4.67264e-05	-0.00198715	-8.00422e-10		8.67074e-06	20.0000	1.39194e-09	358.769	1.90257e-10	-148.173	-1.50143e-06	0.00000	146.942	3.32387e+06	-2.78579e+06	1.81315e+06	-928596	604384	-0.650858	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_23.jpk-force	23	-4.53264e-05	-0.00198715	-8.06655e-10		9.28738e-06	20.0000	1.38233e-09	0.176647	3.62446e-10	-104.966	-2.11216e-06	0.00000	105.143	1.66794e+06	-435714	1.61003e+06	-145238	536675	-3.69514	0.00000
Chromosome3_20Hz-data-2023.06.06-14.41.55.666_24.jpk-force	24	-4.39264e-05	-0.00198715	-7.96197e-10		8.98134e-06	20.0000	1.44855e-09	358.788	5.82516e-10	-170.633	-1.80145e-06	0.00000	169.421	1.10257e+06	-1.08383e+06	202428	-361276	67476.1	-0.186771	0.00000
