Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope	Contact Point Offset [m]	Oscillation Frequency [Hz]	Force Amplitude [N]	Force Phase [deg]	Indentation Amplitude [m]	Indentation Phase [deg]	Indentation Mean [m]	Phase Offset [deg]	Phase Delta [deg]	Youngs Modulus [Pa]	Storage Modulus E' [Pa]	Loss Modulus E'' [Pa]	Shear Storage G' [Pa]	Shear Loss G'' [Pa]	Loss Tan	Drag Correction [Pa]
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_00.jpk-force	0	-7.21433e-05	-0.00202624	-1.84408e-09		8.22879e-06	200.000	1.34833e-09	342.140	2.70351e-10	-175.349	-1.11447e-06	0.00000	157.489	2.40814e+06	-2.22465e+06	921988	-741550	307329	-0.414442	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_01.jpk-force	1	-7.13433e-05	-0.00202624	-1.85172e-09		8.59375e-06	200.000	1.32826e-09	342.986	2.72201e-10	-129.690	-1.47497e-06	0.00000	112.676	2.22341e+06	-857181	2.05154e+06	-285727	683845	-2.39335	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_02.jpk-force	2	-7.05433e-05	-0.00202624	-1.84830e-09		8.90764e-06	200.000	1.33126e-09	343.039	2.76586e-10	-133.969	-1.78382e-06	0.00000	117.008	2.13639e+06	-970181	1.90339e+06	-323394	634464	-1.96189	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_03.jpk-force	3	-6.97433e-05	-0.00202624	-1.84838e-09		8.92185e-06	200.000	1.28422e-09	343.603	4.03153e-10	-74.0403	-1.79364e-06	0.00000	57.6435	1.41304e+06	756239	1.19364e+06	252080	397881	1.57839	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_04.jpk-force	4	-6.89433e-05	-0.00202624	-1.85222e-09		8.93922e-06	200.000	1.37509e-09	342.270	4.61916e-10	177.520	-1.80858e-06	0.00000	164.750	1.31936e+06	-1.27291e+06	347035	-424302	115678	-0.272632	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_05.jpk-force	5	-6.89433e-05	-0.00202544	-1.85537e-09		8.65274e-06	200.000	1.33164e-09	342.624	2.29298e-10	-140.967	-1.52312e-06	0.00000	123.591	2.63248e+06	-1.45644e+06	2.19288e+06	-485479	730959	-1.50564	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_06.jpk-force	6	-6.97433e-05	-0.00202544	-1.85895e-09		8.90025e-06	200.000	1.24084e-09	343.395	6.24133e-10	-47.0614	-1.77199e-06	0.00000	30.4564	883088	761235	447621	253745	149207	0.588020	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_07.jpk-force	7	-7.05433e-05	-0.00202544	-1.86494e-09		8.91863e-06	200.000	1.30815e-09	342.999	2.43867e-10	-96.1975	-1.79502e-06	0.00000	79.1964	2.37933e+06	445989	2.33715e+06	148663	779051	5.24039	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_08.jpk-force	8	-7.13433e-05	-0.00202544	-1.87252e-09		8.92473e-06	200.000	1.32068e-09	342.507	1.67034e-10	-123.191	-1.80580e-06	0.00000	105.698	3.50478e+06	-948260	3.37406e+06	-316087	1.12469e+06	-3.55817	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_09.jpk-force	9	-7.21433e-05	-0.00202544	-1.86986e-09		8.34006e-06	200.000	1.36300e-09	342.290	3.74410e-10	-177.200	-1.22500e-06	0.00000	159.490	1.71940e+06	-1.61041e+06	602417	-536804	200806	-0.374077	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_10.jpk-force	10	-7.21433e-05	-0.00202464	-1.89048e-09		8.34254e-06	200.000	1.31687e-09	342.666	1.82527e-10	-114.637	-1.22721e-06	0.00000	97.3037	3.40623e+06	-433028	3.37859e+06	-144343	1.12620e+06	-7.80225	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_11.jpk-force	11	-7.13433e-05	-0.00202464	-1.88078e-09		8.94439e-06	200.000	1.90650e-10	12.1413	8.43602e-09	-23.1205	-1.59374e-06	0.00000	35.2618	10174.9	8308.03	5874.10	2769.34	1958.03	0.707040	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_12.jpk-force	12	-7.05433e-05	-0.00202464	-1.87508e-09		8.90467e-06	200.000	1.91363e-10	11.8813	8.41779e-09	-23.1953	-1.52085e-06	0.00000	35.0766	10307.2	8435.22	5923.21	2811.74	1974.40	0.702201	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_13.jpk-force	13	-6.97433e-05	-0.00202464	-1.88166e-09		9.22431e-06	200.000	1.92093e-10	12.6725	8.43169e-09	-23.2869	-1.84251e-06	0.00000	35.9594	10077.6	8157.15	5917.68	2719.05	1972.56	0.725460	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_14.jpk-force	14	-6.89433e-05	-0.00202464	-1.87705e-09		8.90194e-06	200.000	1.99337e-10	8.77291	8.33158e-09	-23.0117	-1.68814e-06	0.00000	31.7847	10688.9	9085.91	5630.13	3028.64	1876.71	0.619656	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_15.jpk-force	15	-6.89433e-05	-0.00202384	-1.88231e-09		8.67941e-06	200.000	7.27544e-10	352.291	4.49088e-09	-31.2859	-1.54627e-06	0.00000	23.5766	73264.6	67148.9	29304.0	22383.0	9767.99	0.436403	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_16.jpk-force	16	-6.97433e-05	-0.00202384	-1.89194e-09		8.62480e-06	200.000	2.30886e-10	12.4255	8.19053e-09	-24.4438	-1.32984e-06	0.00000	36.8693	13088.1	10470.5	7852.75	3490.18	2617.58	0.749985	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_17.jpk-force	17	-7.05433e-05	-0.00202384	-1.89307e-09		8.95899e-06	200.000	1.93442e-10	12.8167	8.42469e-09	-23.3747	-1.59153e-06	0.00000	36.1914	10339.8	8344.73	6105.51	2781.58	2035.17	0.731660	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_18.jpk-force	18	-7.13433e-05	-0.00202384	-1.90086e-09		8.92355e-06	200.000	2.35163e-10	13.7306	8.18949e-09	-24.7324	-1.65839e-06	0.00000	38.4629	12858.1	10068.0	7997.85	3356.01	2665.95	0.794381	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_19.jpk-force	19	-7.21433e-05	-0.00202384	-1.89779e-09		8.91178e-06	200.000	1.17557e-09	344.052	1.09255e-09	-38.3473	-1.79172e-06	0.00000	22.3998	477356	441339	181905	147113	60634.9	0.412166	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_20.jpk-force	20	-7.21433e-05	-0.00202304	-1.89984e-09		8.87436e-06	200.000	1.36672e-09	342.735	4.27851e-10	-168.936	-1.75741e-06	0.00000	151.671	1.42023e+06	-1.25014e+06	673937	-416715	224646	-0.539088	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_21.jpk-force	21	-7.13433e-05	-0.00202304	-1.89971e-09		8.59115e-06	200.000	1.31698e-09	342.685	1.86693e-10	-112.379	-1.47134e-06	0.00000	95.0645	3.21555e+06	-283862	3.20300e+06	-94620.6	1.06767e+06	-11.2837	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_22.jpk-force	22	-7.05433e-05	-0.00202304	-1.89798e-09		8.63782e-06	200.000	1.36860e-09	342.308	4.11597e-10	179.047	-1.51492e-06	0.00000	163.261	1.50851e+06	-1.44459e+06	434473	-481530	144824	-0.300759	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_23.jpk-force	23	-6.97433e-05	-0.00202304	-1.89855e-09		8.63867e-06	200.000	1.34554e-09	342.519	2.81599e-10	-161.312	-1.51275e-06	0.00000	143.831	2.16825e+06	-1.75038e+06	1.27964e+06	-583460	426546	-0.731062	0.00000
Chromosome4_200Hz-data-2023.06.06-15.00.40.518_24.jpk-force	24	-6.89433e-05	-0.00202304	-1.90550e-09		8.92011e-06	200.000	1.34345e-09	342.253	2.44278e-10	-167.252	-1.79142e-06	0.00000	149.505	2.43995e+06	-2.10245e+06	1.23818e+06	-700815	412726	-0.588922	0.00000
