Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope	Contact Point Offset [m]	Oscillation Frequency [Hz]	Force Amplitude [N]	Force Phase [deg]	Indentation Amplitude [m]	Indentation Phase [deg]	Indentation Mean [m]	Phase Offset [deg]	Phase Delta [deg]	Youngs Modulus [Pa]	Storage Modulus E' [Pa]	Loss Modulus E'' [Pa]	Shear Storage G' [Pa]	Shear Loss G'' [Pa]	Loss Tan	Drag Correction [Pa]
Chromosome11_200Hz-data-2023.06.06-16.24.14.268_00.jpk-force	0	0.000308896	-0.00209302	-8.17132e-10		8.45023e-06	200.000	1.33480e-09	342.028	1.72121e-10	-167.274	-1.53860e-06	0.00000	149.302	3.50977e+06	-3.01795e+06	1.79177e+06	-1.00598e+06	597257	-0.593704	0.00000
Chromosome11_200Hz-data-2023.06.06-16.24.14.268_01.jpk-force	1	0.000309696	-0.00209302	-8.25432e-10		8.70374e-06	200.000	1.32213e-09	342.615	1.89601e-10	-126.464	-1.78696e-06	0.00000	109.079	3.09454e+06	-1.01153e+06	2.92456e+06	-337175	974852	-2.89123	0.00000
Chromosome11_200Hz-data-2023.06.06-16.24.14.268_02.jpk-force	2	0.000310496	-0.00209302	-8.21620e-10		8.76091e-06	200.000	1.31939e-09	342.613	1.89069e-10	-118.079	-1.84028e-06	0.00000	100.692	3.08720e+06	-572742	3.03361e+06	-190914	1.01120e+06	-5.29664	0.00000
Chromosome11_200Hz-data-2023.06.06-16.24.14.268_03.jpk-force	3	0.000311296	-0.00209302	-8.16084e-10		8.69042e-06	200.000	1.34173e-09	342.118	2.23140e-10	-169.749	-1.76895e-06	0.00000	151.867	2.67139e+06	-2.35578e+06	1.25962e+06	-785259	419872	-0.534692	0.00000
Chromosome11_200Hz-data-2023.06.06-16.24.14.268_04.jpk-force	4	0.000312096	-0.00209302	-8.19538e-10		8.70722e-06	200.000	1.33794e-09	342.262	2.18210e-10	-161.791	-1.78122e-06	0.00000	144.052	2.72193e+06	-2.20355e+06	1.59789e+06	-734517	532631	-0.725145	0.00000
Chromosome11_200Hz-data-2023.06.06-16.24.14.268_05.jpk-force	5	0.000312096	-0.00209222	-8.11794e-10		8.11313e-06	200.000	1.36106e-09	342.148	3.59822e-10	179.258	-1.18770e-06	0.00000	162.890	1.79902e+06	-1.71940e+06	529281	-573133	176427	-0.307829	0.00000
Chromosome11_200Hz-data-2023.06.06-16.24.14.268_06.jpk-force	6	0.000311296	-0.00209222	-8.22666e-10		8.69832e-06	200.000	1.32102e-10	2.52031	8.70125e-09	-20.7923	-1.68256e-06	0.00000	23.3126	6785.49	6231.52	2685.34	2077.17	895.113	0.430928	0.00000
Chromosome11_200Hz-data-2023.06.06-16.24.14.268_07.jpk-force	7	0.000310496	-0.00209222	-8.22098e-10		8.99850e-06	200.000	8.55707e-11	6.39797	9.03626e-09	-19.9699	-1.62527e-06	0.00000	26.3679	4251.82	3809.47	1888.37	1269.82	629.458	0.495706	0.00000
Chromosome11_200Hz-data-2023.06.06-16.24.14.268_08.jpk-force	8	0.000309696	-0.00209222	-8.20118e-10		8.76469e-06	200.000	1.17780e-10	12.6548	8.87474e-09	-21.4225	-1.75409e-06	0.00000	34.0774	5901.75	4888.31	3306.82	1629.44	1102.27	0.676475	0.00000
Chromosome11_200Hz-data-2023.06.06-16.24.14.268_09.jpk-force	9	0.000308896	-0.00209222	-8.30140e-10		8.70280e-06	200.000	1.27340e-09	343.075	4.06015e-10	-59.1168	-1.78444e-06	0.00000	42.1916	1.39204e+06	1.03136e+06	934908	343788	311636	0.906477	0.00000
