Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope	Contact Point Offset [m]	Oscillation Frequency [Hz]	Force Amplitude [N]	Force Phase [deg]	Indentation Amplitude [m]	Indentation Phase [deg]	Indentation Mean [m]	Phase Offset [deg]	Phase Delta [deg]	Youngs Modulus [Pa]	Storage Modulus E' [Pa]	Loss Modulus E'' [Pa]	Shear Storage G' [Pa]	Shear Loss G'' [Pa]	Loss Tan	Drag Correction [Pa]
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_00.jpk-force	0	-7.74815e-05	-0.00113329	1.74916e-09		1.38486e-06	20.0000	1.47462e-09	358.124	7.61027e-10	179.011	-1.28798e-09	0.00000	179.113	2.17121e+07	-2.17095e+07	336143	-7.23651e+06	112048	-0.0154837	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_01.jpk-force	1	-7.62815e-05	-0.00113329	-4.71517e-10		2.74648e-06	20.0000	1.45335e-09	358.465	6.10387e-10	-174.867	-1.34601e-06	0.00000	173.332	1.10289e+06	-1.09543e+06	128060	-365142	42686.6	-0.116904	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_02.jpk-force	2	-7.50815e-05	-0.00113329	-4.59144e-10		1.64634e-06	20.0000	1.39003e-09	358.597	1.72246e-10	-148.554	-2.41735e-07	0.00000	147.151	6.92060e+06	-5.81401e+06	3.75394e+06	-1.93800e+06	1.25131e+06	-0.645672	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_03.jpk-force	3	-7.38815e-05	-0.00113329	-4.58919e-10		1.73852e-06	20.0000	1.45611e-09	358.153	6.27383e-10	179.754	-3.34465e-07	0.00000	178.399	1.72442e+06	-1.72374e+06	48164.8	-574581	16054.9	-0.0279420	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_04.jpk-force	4	-7.26815e-05	-0.00113329	-4.66293e-10		1.79759e-06	20.0000	1.34022e-09	359.495	3.30974e-10	-49.8804	-3.88269e-07	0.00000	49.3758	2.82364e+06	1.83846e+06	2.14314e+06	612819	714379	1.16573	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_05.jpk-force	5	-7.26815e-05	-0.00113209	-4.67023e-10		2.16023e-06	20.0000	1.38184e-09	359.062	1.93992e-10	-117.455	-7.48554e-07	0.00000	116.517	3.86516e+06	-1.72565e+06	3.45855e+06	-575218	1.15285e+06	-2.00420	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_06.jpk-force	6	-7.38815e-05	-0.00113209	-4.79182e-10		2.52453e-06	20.0000	1.24176e-10	9.60489	9.11499e-09	-3.06834	-6.50345e-07	0.00000	12.6732	7761.79	7572.69	1702.86	2524.23	567.621	0.224869	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_07.jpk-force	7	-7.50815e-05	-0.00113209	-5.23663e-10		2.21569e-06	20.0000	1.33705e-10	10.8689	9.05222e-09	-3.30857	-6.97730e-07	0.00000	14.1774	8209.15	7959.12	2010.63	2653.04	670.210	0.252620	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_08.jpk-force	8	-7.62815e-05	-0.00113209	-5.36288e-10		3.00317e-06	20.0000	1.43208e-09	358.590	4.61481e-10	-169.749	-1.60193e-06	0.00000	168.339	1.39613e+06	-1.36732e+06	282183	-455772	94061.1	-0.206378	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_09.jpk-force	9	-7.74815e-05	-0.00113209	-5.26182e-10		2.88856e-06	20.0000	1.44781e-09	358.250	5.67689e-10	-178.448	-1.48942e-06	0.00000	176.698	1.16019e+06	-1.15826e+06	66830.1	-386088	22276.7	-0.0576985	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_10.jpk-force	10	-7.74815e-05	-0.00113089	-5.18776e-10		2.61081e-06	20.0000	1.45078e-09	358.307	5.90249e-10	-177.575	-1.20800e-06	0.00000	175.882	1.16451e+06	-1.16150e+06	83632.7	-387168	27877.6	-0.0720038	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_11.jpk-force	11	-7.62815e-05	-0.00113089	-5.23829e-10		2.62796e-06	20.0000	1.11941e-10	19.9010	9.24718e-09	-3.80168	-4.69349e-07	0.00000	23.7027	7809.30	7150.54	3139.27	2383.51	1046.42	0.439026	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_12.jpk-force	12	-7.50815e-05	-0.00113089	-5.33545e-10		3.51891e-06	20.0000	8.92667e-11	21.7783	9.40826e-09	-3.49625	-7.82990e-07	0.00000	25.2745	5072.43	4586.86	2165.71	1528.95	721.902	0.472154	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_13.jpk-force	13	-7.38815e-05	-0.00113089	-5.05595e-10		2.86865e-06	20.0000	8.94253e-11	24.2243	9.42041e-09	-3.66235	-4.71809e-07	0.00000	27.8866	6111.00	5401.36	2858.26	1800.45	952.754	0.529174	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_14.jpk-force	14	-7.26815e-05	-0.00113089	-4.73693e-10		2.67746e-06	20.0000	1.33420e-09	359.468	3.57138e-10	-43.8830	-1.26037e-06	0.00000	43.3508	1.75364e+06	1.27519e+06	1.20381e+06	425062	401271	0.944029	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_15.jpk-force	15	-7.26815e-05	-0.00112969	-4.65275e-10		2.22173e-06	20.0000	1.45063e-09	358.337	5.89683e-10	-177.048	-8.04602e-07	0.00000	175.385	1.30361e+06	-1.29938e+06	104888	-433127	34962.6	-0.0807213	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_16.jpk-force	16	-7.38815e-05	-0.00112969	-4.78922e-10		3.54081e-06	20.0000	6.91405e-11	26.0361	9.55860e-09	-3.31206	-8.77129e-07	0.00000	29.3481	3731.09	3252.24	1828.66	1084.08	609.555	0.562279	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_17.jpk-force	17	-7.50815e-05	-0.00112969	-4.70730e-10		3.49679e-06	20.0000	7.87509e-11	23.7587	9.48690e-09	-3.39522	-4.96534e-07	0.00000	27.1539	5236.45	4659.30	2389.82	1553.10	796.608	0.512914	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_18.jpk-force	18	-7.62815e-05	-0.00112969	-4.69102e-10		2.89875e-06	20.0000	8.05035e-11	23.1070	9.47214e-09	-3.41565	-5.97739e-07	0.00000	26.5226	4993.51	4467.98	2229.86	1489.33	743.285	0.499075	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_19.jpk-force	19	-7.74815e-05	-0.00112969	-4.81123e-10		1.43516e-06	20.0000	1.43823e-09	358.439	5.01072e-10	-174.007	-2.29953e-08	0.00000	172.446	7.64364e+06	-7.57729e+06	1.00488e+06	-2.52576e+06	334961	-0.132618	0.00000
Chromosome14_20Hz-data-2023.06.07-10.35.22.907_20.jpk-force	20	-7.74815e-05	-0.00112849	-4.93876e-10		1.80416e-06	20.0000	1.44265e-09	358.692	5.40736e-10	-169.535	-3.88718e-07	0.00000	168.227	1.85949e+06	-1.82037e+06	379402	-606790	126467	-0.208420	0.00000
