Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope	Contact Point Offset [m]	Oscillation Frequency [Hz]	Force Amplitude [N]	Force Phase [deg]	Indentation Amplitude [m]	Indentation Phase [deg]	Indentation Mean [m]	Phase Offset [deg]	Phase Delta [deg]	Youngs Modulus [Pa]	Storage Modulus E' [Pa]	Loss Modulus E'' [Pa]	Shear Storage G' [Pa]	Shear Loss G'' [Pa]	Loss Tan	Drag Correction [Pa]
Chromosome5_2Hz-data-2023.06.06-15.08.57.107_00.jpk-force	0	0.000106188	-0.00198144	-2.39817e-09		7.78152e-06	2.00000	1.30487e-09	0.307310	4.83439e-10	-9.81976	-1.13853e-06	0.00000	10.1271	1.29652e+06	1.27632e+06	227970	425441	75990.0	0.178615	0.00000
Chromosome5_2Hz-data-2023.06.06-15.08.57.107_01.jpk-force	1	0.000107188	-0.00198144	-2.41041e-09		8.42635e-06	2.00000	1.31045e-09	0.301619	4.43091e-10	-10.6541	-1.77947e-06	0.00000	10.9557	1.31307e+06	1.28914e+06	249549	429714	83183.0	0.193578	0.00000
Chromosome5_2Hz-data-2023.06.06-15.08.57.107_02.jpk-force	2	0.000108188	-0.00198144	-2.40810e-09		8.13677e-06	2.00000	1.30052e-09	2.00622	6.29409e-10	-35.3259	-1.48586e-06	0.00000	37.3321	940337	747694	570253	249231	190084	0.762682	0.00000
Chromosome5_2Hz-data-2023.06.06-15.08.57.107_03.jpk-force	3	0.000109188	-0.00198144	-2.40703e-09		8.76042e-06	2.00000	1.40273e-09	0.265614	2.51029e-10	-161.638	-2.10804e-06	0.00000	161.903	2.44409e+06	-2.32319e+06	759188	-774398	253063	-0.326786	0.00000
Chromosome5_2Hz-data-2023.06.06-15.08.57.107_04.jpk-force	4	0.000110188	-0.00198144	-2.36177e-09		6.66631e-06	2.00000	1.40164e-09	0.317897	2.46572e-10	-159.015	-1.23281e-08	0.00000	159.333	2.06321e+07	-1.93044e+07	7.28183e+06	-6.43479e+06	2.42728e+06	-0.377211	0.00000
Chromosome5_2Hz-data-2023.06.06-15.08.57.107_05.jpk-force	5	0.000110188	-0.00198044	-2.41787e-09		8.43631e-06	2.00000	1.34448e-09	1.14622	2.95881e-10	-50.3523	-1.78285e-06	0.00000	51.4985	2.01701e+06	1.25566e+06	1.57849e+06	418552	526164	1.25711	0.00000
Chromosome5_2Hz-data-2023.06.06-15.08.57.107_06.jpk-force	6	0.000109188	-0.00198044	-2.43346e-09		8.41866e-06	2.00000	1.38724e-09	0.272208	1.48412e-10	-147.546	-1.77052e-06	0.00000	147.818	4.15231e+06	-3.51437e+06	2.21154e+06	-1.17146e+06	737181	-0.629286	0.00000
Chromosome5_2Hz-data-2023.06.06-15.08.57.107_07.jpk-force	7	0.000108188	-0.00198044	-2.43674e-09		8.75876e-06	2.00000	5.67017e-11	9.40851	9.59272e-09	-0.592437	-2.07015e-06	0.00000	10.0010	2588.62	2549.28	449.551	849.761	149.850	0.176344	0.00000
Chromosome5_2Hz-data-2023.06.06-15.08.57.107_08.jpk-force	8	0.000107188	-0.00198044	-2.44527e-09		8.42490e-06	2.00000	1.37961e-09	0.225460	9.95088e-11	-134.325	-1.78270e-06	0.00000	134.550	6.15418e+06	-4.31736e+06	4.38569e+06	-1.43912e+06	1.46190e+06	-1.01583	0.00000
Chromosome5_2Hz-data-2023.06.06-15.08.57.107_09.jpk-force	9	0.000106188	-0.00198044	-2.45000e-09		8.44396e-06	2.00000	1.37463e-09	1.07375	2.21835e-10	-98.1714	-1.80551e-06	0.00000	99.2451	2.74682e+06	-441300	2.71114e+06	-147100	903714	-6.14353	0.00000
