Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope	Contact Point Offset [m]	Oscillation Frequency [Hz]	Force Amplitude [N]	Force Phase [deg]	Indentation Amplitude [m]	Indentation Phase [deg]	Indentation Mean [m]	Phase Offset [deg]	Phase Delta [deg]	Youngs Modulus [Pa]	Storage Modulus E' [Pa]	Loss Modulus E'' [Pa]	Shear Storage G' [Pa]	Shear Loss G'' [Pa]	Loss Tan	Drag Correction [Pa]
Chromosome15_200Hz-data-2023.06.07-10.55.25.582_00.jpk-force	0	-0.000117915	-0.00113899	-1.90785e-09		1.86160e-06	200.000	1.32961e-09	341.130	1.85513e-10	-163.546	-4.37319e-08	0.00000	144.676	1.38956e+07	-1.13374e+07	8.03439e+06	-3.77914e+06	2.67813e+06	-0.708661	0.00000
Chromosome15_200Hz-data-2023.06.07-10.55.25.582_01.jpk-force	1	-0.000117215	-0.00113899	-1.92100e-09		2.67689e-06	200.000	1.35021e-09	340.923	3.18267e-10	174.112	-8.65091e-07	0.00000	166.810	2.19755e+06	-2.13958e+06	501428	-713193	167143	-0.234358	0.00000
Chromosome15_200Hz-data-2023.06.07-10.55.25.582_02.jpk-force	2	-0.000116515	-0.00113899	-1.92663e-09		2.14927e-06	200.000	1.31919e-09	341.691	2.15441e-10	-131.408	-3.40321e-07	0.00000	113.098	4.51556e+06	-1.77151e+06	4.15356e+06	-590502	1.38452e+06	-2.34465	0.00000
Chromosome15_200Hz-data-2023.06.07-10.55.25.582_03.jpk-force	3	-0.000115815	-0.00113899	-1.92264e-09		2.69989e-06	200.000	1.31695e-09	341.775	2.14675e-10	-126.508	-8.93211e-07	0.00000	108.283	3.14706e+06	-987265	2.98819e+06	-329088	996064	-3.02673	0.00000
Chromosome15_200Hz-data-2023.06.07-10.55.25.582_04.jpk-force	4	-0.000115115	-0.00113899	-1.92228e-09		2.90516e-06	200.000	1.36575e-09	340.951	4.25039e-10	171.918	-1.09967e-06	0.00000	169.033	1.55667e+06	-1.52824e+06	296159	-509413	98719.7	-0.193791	0.00000
Chromosome15_200Hz-data-2023.06.07-10.55.25.582_05.jpk-force	5	-0.000115115	-0.00113829	-1.91904e-09		2.75534e-06	200.000	1.35481e-09	340.908	3.52923e-10	171.949	-9.47264e-07	0.00000	168.959	1.93572e+06	-1.89989e+06	370718	-633297	123573	-0.195126	0.00000
Chromosome15_200Hz-data-2023.06.07-10.55.25.582_06.jpk-force	6	-0.000115815	-0.00113829	-1.92225e-09		3.00405e-06	200.000	1.98059e-10	354.048	8.15216e-09	-21.7870	-1.08506e-06	0.00000	15.8350	11809.6	11361.4	3222.45	3787.14	1074.15	0.283631	0.00000
Chromosome15_200Hz-data-2023.06.07-10.55.25.582_07.jpk-force	7	-0.000116515	-0.00113829	-1.92450e-09		3.11968e-06	200.000	1.40786e-10	354.596	8.56245e-09	-20.9086	-8.65422e-07	0.00000	15.5048	8516.08	8206.17	2276.51	2735.39	758.837	0.277415	0.00000
Chromosome15_200Hz-data-2023.06.07-10.55.25.582_08.jpk-force	8	-0.000117215	-0.00113829	-1.93116e-09		3.39325e-06	200.000	1.91231e-10	355.268	8.21236e-09	-21.7411	-1.28527e-06	0.00000	17.0094	10886.0	10409.8	3184.46	3469.92	1061.49	0.305911	0.00000
Chromosome15_200Hz-data-2023.06.07-10.55.25.582_09.jpk-force	9	-0.000117915	-0.00113829	-1.94543e-09		4.45143e-06	200.000	1.06140e-09	343.540	1.85877e-09	-32.2062	-2.64423e-06	0.00000	15.7467	247232	237953	67095.1	79317.8	22365.0	0.281967	0.00000
Chromosome15_200Hz-data-2023.06.07-10.55.25.582_10.jpk-force	10	-0.000117915	-0.00113759	-1.95582e-09		4.33224e-06	200.000	1.33023e-09	341.025	1.77232e-10	-174.126	-2.52698e-06	0.00000	155.152	3.25399e+06	-2.95275e+06	1.36739e+06	-984249	455798	-0.463092	0.00000
Chromosome15_200Hz-data-2023.06.07-10.55.25.582_11.jpk-force	11	-0.000117215	-0.00113759	-1.93880e-09		2.87695e-06	200.000	1.87019e-10	357.143	8.26507e-09	-21.9996	-2.17748e-07	0.00000	19.1422	20347.1	19222.0	6672.09	6407.34	2224.03	0.347107	0.00000
Chromosome15_200Hz-data-2023.06.07-10.55.25.582_12.jpk-force	12	-0.000116515	-0.00113759	-1.94650e-09		3.91023e-06	200.000	1.89753e-10	356.229	8.23401e-09	-21.8547	-1.24949e-06	0.00000	18.0840	10837.7	10302.3	3364.13	3434.11	1121.38	0.326541	0.00000
Chromosome15_200Hz-data-2023.06.07-10.55.25.582_13.jpk-force	13	-0.000115815	-0.00113759	-1.94961e-09		3.97755e-06	200.000	1.63320e-10	356.460	8.41424e-09	-21.5172	-1.56001e-06	0.00000	17.9770	8766.20	8338.24	2705.56	2779.41	901.854	0.324477	0.00000
Chromosome15_200Hz-data-2023.06.07-10.55.25.582_14.jpk-force	14	-0.000115115	-0.00113759	-1.94606e-09		2.58834e-06	200.000	7.66579e-10	345.823	4.01439e-09	-26.9304	-7.53990e-07	0.00000	12.7534	103367	100817	22818.8	33605.6	7606.28	0.226340	0.00000
