Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope	Contact Point Offset [m]	Oscillation Frequency [Hz]	Force Amplitude [N]	Force Phase [deg]	Indentation Amplitude [m]	Indentation Phase [deg]	Indentation Mean [m]	Phase Offset [deg]	Phase Delta [deg]	Youngs Modulus [Pa]	Storage Modulus E' [Pa]	Loss Modulus E'' [Pa]	Shear Storage G' [Pa]	Shear Loss G'' [Pa]	Loss Tan	Drag Correction [Pa]
Chromosome2_20Hz-data-2023.06.06-11.22.16.562_00.jpk-force	0	0.000259261	-0.00130087	-8.67499e-09		1.99590e-06	20.0000	1.20170e-09	357.956	1.23182e-09	-1.12438	-1.26045e-06	0.00000	-0.919284	457929	457870	-7346.94	152623	-2448.98	-0.0160459	0.00000
Chromosome2_20Hz-data-2023.06.06-11.22.16.562_01.jpk-force	1	0.000260261	-0.00130087	-8.66339e-09		7.54089e-07	20.0000	1.21606e-09	358.056	1.12570e-09	-1.78635	-1.68888e-08	0.00000	-0.157710	3.35285e+06	3.35284e+06	-9228.88	1.11761e+06	-3076.29	-0.00275256	0.00000
Chromosome2_20Hz-data-2023.06.06-11.22.16.562_02.jpk-force	2	0.000261261	-0.00130087	-8.74498e-09		7.67843e-07	20.0000	1.20934e-09	358.436	1.17625e-09	-4.66279	-2.17303e-08	0.00000	3.09851	2.81580e+06	2.81168e+06	152202	937228	50734.1	0.0541321	0.00000
Chromosome2_20Hz-data-2023.06.06-11.22.16.562_03.jpk-force	3	0.000262261	-0.00130087	-8.75556e-09		7.73998e-07	20.0000	1.22107e-09	358.257	1.08908e-09	-3.38419	-2.32230e-08	0.00000	1.64150	2.97118e+06	2.96996e+06	85111.4	989987	28370.5	0.0286574	0.00000
Chromosome2_20Hz-data-2023.06.06-11.22.16.562_04.jpk-force	4	0.000263261	-0.00130087	-8.75426e-09		7.73661e-07	20.0000	1.21471e-09	358.188	1.13538e-09	-2.84794	-1.78330e-08	0.00000	1.03613	3.23203e+06	3.23150e+06	58444.7	1.07717e+06	19481.6	0.0180859	0.00000
Chromosome2_20Hz-data-2023.06.06-11.22.16.562_05.jpk-force	5	0.000263261	-0.00129987	-8.77220e-09		7.79900e-07	20.0000	1.21332e-09	358.424	1.14717e-09	-4.60310	-2.13942e-08	0.00000	3.02678	2.91913e+06	2.91506e+06	154138	971686	51379.3	0.0528764	0.00000
Chromosome2_20Hz-data-2023.06.06-11.22.16.562_06.jpk-force	6	0.000262261	-0.00129987	-8.79652e-09		1.45612e-06	20.0000	1.00152e-10	19.5801	9.32414e-09	-3.56389	-4.88139e-07	0.00000	23.1440	6821.60	6272.60	2681.18	2090.87	893.728	0.427444	0.00000
Chromosome2_20Hz-data-2023.06.06-11.22.16.562_07.jpk-force	7	0.000261261	-0.00129987	-8.81215e-09		1.54936e-06	20.0000	8.14450e-11	19.6318	9.45120e-09	-3.23377	-4.08987e-07	0.00000	22.8655	5880.20	5418.13	2284.87	1806.04	761.623	0.421708	0.00000
Chromosome2_20Hz-data-2023.06.06-11.22.16.562_08.jpk-force	8	0.000260261	-0.00129987	-8.81989e-09		7.69748e-07	20.0000	1.20342e-09	358.636	1.22120e-09	-6.02632	-2.06836e-08	0.00000	4.66242	2.76575e+06	2.75660e+06	224813	918866	74937.8	0.0815546	0.00000
Chromosome2_20Hz-data-2023.06.06-11.22.16.562_09.jpk-force	9	0.000259261	-0.00129987	-8.82407e-09		7.62520e-07	20.0000	1.21260e-09	358.182	1.15049e-09	-2.74114	-1.96432e-08	0.00000	0.923066	3.03485e+06	3.03445e+06	48890.9	1.01148e+06	16297.0	0.0161119	0.00000
